cz_isco_code,role_label_en,role_label_cs,p25,p50,p75,p90
1330,ICT services manager,Manažer v oblasti ICT,70000,95000,130000,180000
2511,Systems analyst,Systémový analytik,55000,75000,100000,140000
2512,Software developer,Vývojář software,50000,70000,95000,130000
2513,Web and multimedia developer,Vývojář webu a multimédií,45000,60000,82000,110000
2514,Application programmer,Aplikační programátor,48000,65000,90000,125000
2519,Software developer NEC,Vývojář software jinde neuvedený,48000,65000,88000,120000
2521,Database designer/administrator,Návrhář a správce databází,55000,75000,100000,140000
2522,Systems administrator,Systémový administrátor,48000,65000,88000,120000
2523,Computer network professional,Specialista počítačových sítí,50000,68000,92000,125000
2529,Database and network professional NEC,Specialista DB a sítí jinde neuvedený,50000,68000,92000,125000
3511,ICT operations technician,Technik provozu ICT,40000,52000,68000,88000
3512,ICT user support technician,Technik uživatelské podpory ICT,35000,45000,58000,75000
3513,Computer network technician,Technik počítačových sítí,38000,50000,65000,85000
3514,Web technician,Webový technik,38000,50000,65000,85000
